main_address,primary_building_name
1 Battery Park Plaza,One Battery Park Plaza
1 Broadway,One Broadway
1 Centre St,The Manhattan Municipal Building
1 E 33rd St,
1 Madison Ave,One NoMad
1 Penn Plaza,One Penn Plaza
1 Police Plaza,
1 W 34th St,
1 W 39th St,
1 Whitehall St,
1 William St,
10 E 40th St,The Mercantile Building
10 E 53th St,The Harper & Row Building
10 E 60th St,
10 W 33rd St,The Fashion Accessories Center
100 Broad St,Broad Financial Center
100 Gold St,
100 Park Ave,
100 W 33rd St,
100 5th Ave,
102 Madison Ave,
104 E 25th St,
104 W 29th St,The Fur Center Building
104 W 40th St,The Park House
1040 Ave Of The Americas,
1049 Park Ave,
105 Madison Ave,
108 W 39th St,
11 Broadway,The Bowling Green Building
11 E 26th St,
11 Park Pl,The Park Murray Building
11 Penn Plaza,The Equitable Life Assurance Society Building
11 W 19th St,
110 Greene St,The Soho Building
110 Maiden Lane,
111 8th Ave,
111 Centre St,The City of New York Building
111 E 58th St,
111 John St,
111 W 19th St,
1111th St Of The Americas,
112 Madison Ave,
113 University Place,The American Lithographers of America Building
1133rd Ave Of The Americas,The Interchem Building
114 W 47th St,
1140 Broadway,The Lowell Building
115 Broadway,The United States Realty Building
115 W 40th St,The Lewisohn Building
115 W 45th St,
1155th Ave Of The Americas,
1156 Ave Of The Americas,
116 E 14th St,Zero Irving
116 E 16th St,
116 E 27th St,
116 Nassau St,The Morton Building
116 W 45th St,Tower 45
118 5th Ave,
1180 Ave Of The Americas,
1185th Ave Of The Americas,J.P. Stevens Company Tower
119 W 23rd St,
119 W 31st St,
119 W 57th St,
119-125 W 24th St,
119-125 W 25th St,
12 W 21st St,
120 E 23rd St,
120 Leroy St,
120 Wooster St,
1201 Broadway,
121 E 24th St,
121 W 27th St,
1212nd Ave Of The Americas,
122 5th Ave,
122 W 26th St,
122 W 27th St,
1240 Broadway,
1245 Broadway,
125 Park Ave,The Pershing Square Building
1255 Broadway,
1271 Ave Of The Americas,The Time-Life Building
1285th Ave Of The Americas,
1290 Ave Of The Americas,
13 University Place,
13 W 27th St,
130 5th Ave,
130 Prince St,
132 E 126th St,
132 W 36th St,
1330 Ave Of The Americas,
1333 Broadway,The Johnson Building
1345th Ave Of The Americas,
135 Madison Ave,
135 W 18th St,
135 W 36th St,Fashion Tower
135 W 50th St,The Sports Illustrated Building
1350 Broadway,The Herald Square Building
