bbl,main_address,primary_building_name
1000090029.0,1 Battery Park Plaza,One Battery Park Plaza
1000130001.0,1 Broadway,One Broadway
1001210001.0,1 Centre St,The Manhattan Municipal Building
1008630006.0,1 E 33rd St,
1008070039.0,1 Madison Ave,One NoMad
1007830070.0,1 Penn Plaza,One Penn Plaza
1001190001.0,1 Police Plaza,
1008360033.0,1 W 34th St,
1008410031.0,1 W 39th St,
1000100023.0,1 Whitehall St,
1000290036.0,1 William St,
1008690066.0,10 E 40th St,The Mercantile Building
1012880007.0,10 E 53th St,The Harper & Row Building
1013740060.0,10 E 60th St,
1008340049.0,10 W 33rd St,The Fashion Accessories Center
1008210041.0,100 Broad St,Broad Financial Center
1000100014.0,100 Gold St,
1000940025.0,100 Park Ave,
1012750027.0,100 W 33rd St,
1008080040.0,100 5th Ave,
1008590015.0,102 Madison Ave,
1008800084.0,104 E 25th St,
1008040044.0,104 W 29th St,The Fur Center Building
1007630049.0,104 W 40th St,The Park House
1008410001.0,1040 Ave Of The Americas,
1013090066.0,1049 Park Ave,
1008590064.0,105 Madison Ave,
1008140046.0,108 W 39th St,
1000130005.0,11 Broadway,The Bowling Green Building
1008560009.0,11 E 26th St,
1001240004.0,11 Park Pl,The Park Murray Building
1008070001.0,11 Penn Plaza,The Equitable Life Assurance Society Building
1008210032.0,11 W 19th St,
1004990007.0,110 Greene St,The Soho Building
1000390012.0,110 Maiden Lane,
1007390001.0,111 8th Ave,
1001680032.0,111 Centre St,The City of New York Building
1013130005.0,111 E 58th St,
1000750030.0,111 John St,
1007950028.0,111 W 19th St,
1009950033.0,1111th St Of The Americas,
1008590072.0,112 Madison Ave,
1005640007.0,113 University Place,The American Lithographers of America Building
1009960029.0,1133rd Ave Of The Americas,The Interchem Building
1009990019.0,114 W 47th St,
1008280033.0,1140 Broadway,The Lowell Building
1000500001.0,115 Broadway,The United States Realty Building
1009930022.0,115 W 40th St,The Lewisohn Building
1009980024.0,115 W 45th St,
1009970029.0,1155th Ave Of The Americas,
1012600071.0,1156 Ave Of The Americas,
1005590016.0,116 E 14th St,Zero Irving
1008710070.0,116 E 16th St,
1008820076.0,116 E 27th St,
1000920024.0,116 Nassau St,The Morton Building
1009970041.0,116 W 45th St,Tower 45
1008190037.0,118 5th Ave,
1012620001.0,1180 Ave Of The Americas,
1009990029.0,1185th Ave Of The Americas,J.P. Stevens Company Tower
1007990028.0,119 W 23rd St,
1008000025.0,119 W 31st St,
1008010024.0,119 W 57th St,
1008070028.0,119 W 24th St,
1010100021.0,119 W 25th St,
1008220049.0,12 W 21st St,
1008780065.0,120 E 23rd St,
1006010047.0,120 Leroy St,
1005000011.0,120 Wooster St,
1008300062.0,1201 Broadway,
1008800014.0,121 E 24th St,
1008030021.0,121 W 27th St,
1012630071.0,1212nd Ave Of The Americas,
1008190039.0,122 5th Ave,
1008010055.0,122 W 26th St,
1008020056.0,122 W 27th St,
1008330011.0,1240 Broadway,
1008320017.0,1245 Broadway,
1012960001.0,125 Park Ave,The Pershing Square Building
1008330006.0,1255 Broadway,
1010030029.0,1271 Ave Of The Americas,The Time-Life Building
1010040029.0,1285th Ave Of The Americas,
1012670001.0,1290 Ave Of The Americas,
1005480009.0,13 University Place,
1008290032.0,13 W 27th St,
1008200038.0,130 5th Ave,
1005010015.0,130 Prince St,
1017740056.0,132 E 126th St,
1008110051.0,132 W 36th St,
1012690001.0,1330 Ave Of The Americas,
1008110021.0,1333 Broadway,The Johnson Building
1010070029.0,1345th Ave Of The Americas,
1008610022.0,135 Madison Ave,
1007940017.0,135 W 18th St,
1008120019.0,135 W 36th St,Fashion Tower
1010030005.0,135 W 50th St,The Sports Illustrated Building
1008110031.0,1350 Broadway,The Herald Square Building
1008610015.0,136 Madison Ave,
1008810029.0,137 W 25th St,
1012620024.0,138 W 25th St,
1008130055.0,1385 Broadway,The Bricken Broadway Building
1001540023.0,14 Reade St,
1000460009.0,14 Wall St,The Bankers Trust Company Building
1000480001.0,140 Broadway,The HSBC Bank Building
1012730001.0,1400 Ave Of The Americas,
1008120016.0,141 W 36th St,
1008150001.0,1411 Broadway,
1008150014.0,1412 Broadway,The Lefcourt Manhattan Building
1008110056.0,142 W 36th St,
1008150046.0,1430 Broadway,
1009930055.0,1441 Broadway,The Bricken Textile Building
1013120024.0,145 E 57th St,The Hammacher Schlemmer Building
1008040011.0,145 W 28th St,
1008060009.0,145 W 30th St,
1009980012.0,145 W 45th St,
1008610064.0,148 Madison Ave,The Remsen Building
1008120069.0,148 W 37th St,The Lefcourt Central Building
1008620013.0,15 E 32nd St,
1012750012.0,15 E 40th St,
1000650007.0,15 Maiden Lane,The Goldsmiths' & Silversmiths' Building
1008230029.0,15 W 21nd St,
1008400031.0,15 W 38th St,
1008410027.0,15 W 39th St,
1012670022.0,15 W 51st St,
1000640012.0,150 Broadway,The Westinghouse Building
1013120041.0,150 E 58th St,The Architects & Designers Building
1008000065.0,150 W 25th St,Chelsea Design Center
1008030067.0,150 W 28th St,The Industrial Building
1009960001.0,1500 Broadway,
1010150029.0,1501 Broadway,The Paramount Building
1008020008.0,151 W 26th St,
1009990009.0,151 W 46th St,The Professional Music Building
1010160036.0,1515 Broadway,One Astor Plaza
1008620016.0,152 Madison Ave,The Anderson Building
1008000068.0,152 W 25th St,
1008110062.0,152 W 36th St,
1010090005.0,152 W 57th St,Tower 52
1008220031.0,154 W 14th St,
1006090007.0,154 5th Ave,
1007990012.0,155 W 23rd St,
1008020075.0,158 W 27th St,The Chelsea Building
1008690064.0,16 E 40th St,
1008260046.0,16 Madison Ave Square W,The Townsend Building
1008370056.0,16 W 36th St,
1008400058.0,16 W 39th St,
1012620048.0,16 W 47th St,
1011130051.0,16 W 61st St,
1000640015.0,160 Broadway,Lawyers' Title Insurance & Trust Company B...
1013100041.0,160 E 56th St,
1005050036.0,161 Ave Of The Americas,
1010210019.0,1619 Broadway,The Brill Building
1009990003.0,1633 Broadway,The Actors' Equity Building
1010240015.0,1675 Broadway,
1010250043.0,1697 Broadway,The Ed Sullivan Theater Building
1000090014.0,17 State St,
1007660061.0,17 W 17th St,
1010250025.0,1700 Broadway,
1008630027.0,171 Madison Ave,The Lewittes Building
1010270020.0,1740 Broadway,The Mutual of New York Building
1012700071.0,1775 Broadway,The MGM Building
1008630067.0,178 Madison Ave,
1010290053.0,1784 Broadway,The U.S. Rubber Company Building
1012810059.0,18 E 46th St,
1008190056.0,18 W 18th St,
1008220052.0,18 W 21st St,
1008630060.0,183 Madison Ave,The Madison Belmont Building
1000660001.0,19 Liberty St,Federal Reserve Bank of New York
1008230024.0,19 W 21st St,The Spero Building
1008260026.0,19 W 24th St,
1005460021.0,19 W 4th St,
1012600024.0,19 W 44th St,
1001550001.0,2 Lafayette St,The Court Square Building
1000490002.0,2 Thames St,
1008240032.0,2 W 33rd St,The Spinning Wheel Building
1012600042.0,2 W 45th St,The Putman Building
1012610042.0,2 W 46th St,
1000460001.0,2 Wall St,
1008210055.0,20 W 20th St,The Dezer Building
1008370058.0,20 W 36th St,
1008380062.0,20 W 37th St,
1012700049.0,20 W 55th St,
1002210030.0,200 Hudson St,
1008650014.0,200 Madison Ave,
1000160260.0,200 West St,
1007890030.0,205 W 39th St,The Bryant Collection
1008400028.0,21 W 38th St,The Lane Bryant Company Building
1005460026.0,21 W 4th St,The Club Row Building
1007840051.0,212 W 35th St,
1008730067.0,215 Park Ave S,
1010120023.0,215 W 40th St,
1000880001.0,217 Broadway,The Astor Building
1007890052.0,218 W 40th St,
1008330057.0,22 W 32nd St,
1008390060.0,22 W 38th St,
1012630051.0,22 W 48th St,The National Jewelers' Board Of Trade Building
1009030047.0,220 E 23rd St,The Multi Media Building
1007790057.0,224 W 30th St,
1007840060.0,224 W 35th St,Penn Place @ 224 W. 35th Street
1000880018.0,225 Broadway,The Transportation Building
1005810063.0,225 Varick St,
1007750058.0,226 W 26th St,
1013180033.0,228 E 45th St,
1007780020.0,229 W 28th St,The Caxton Building
1007860023.0,229 W 36th St,
1001530024.0,23 Chambers St,
1008200026.0,23 W 18th St,The Gluett Building
1012590019.0,23 W 43rd St,
1013000001.0,230 Park Ave,The Helmsley Building
1008470040.0,230 Park Ave S,The American Lithograph Building
1007790017.0,231 W 29th St,
1007890021.0,231 W 39th St,The Contemporary Fashion Center
1017750033.0,2322 3rd Ave,
1008290036.0,236 5th Ave,
1007760059.0,236 W 27th St,
1007850018.0,237 W 35th St,
1008260057.0,24 W 25th St,
1007840064.0,240 W 35th St,
1007860068.0,240 W 37th St,
1007890062.0,240 W 40th St,
1007790013.0,241 W 29th St,
1007870020.0,241 W 37th St,The Teri Jon Building
1007850067.0,242 W 36th St,
1006980001.0,244 11th St,
1013010001.0,245 Park Ave,
1007800013.0,247 W 30th St,
1000130027.0,25 Broadway,The Standard & Poors Building
1012610021.0,25 W 45th St,
1005780047.0,250 Hudson St,
1007880073.0,250 W 39th St,39th Street Fashion Center
1008760001.0,251 Park Ave,The Brogan Building
1007890014.0,251 W 39th St,
1007800071.0,254 W 31st St,
1001270018.0,255 Greenwich St,
1007860013.0,255 W 36th St,The Miller Building
1007870072.0,256 W 38th St,The Candler Building
1008760006.0,257 Park Ave S,
1000220013.0,26 Broadway,
1007800010.0,26 W 26th St,The Recording Arts Rehearsal Building
1008680016.0,260 Madison Ave,
1008680025.0,261 Madison Ave,The American Machine & Foundry Building
1007890075.0,264 W 40th St,
1008220015.0,27 W 20th St,
1011130008.0,27 W 60th St,
1008690020.0,271 Madison Ave,
1008010001.0,275 7th Ave,The Lefcourt Clothing Center Building
1008240028.0,28 W 23rd St,
1001530001.0,280 Broadway,The Sun Building
1012750023.0,285 Madison Ave,The U.S. Trust Building
1012750014.0,286 Madison Ave,
1018840001.0,2880 Broadway,
1008370023.0,29 W 35th St,
1008400023.0,29 W 38th St,
1012750059.0,292 Madison Ave,
1005100038.0,295 Lafayette St,The Puck Building
1013030001.0,299 Park Ave,
1008580006.0,3 E 28th St,
1012900006.0,3 E 54th St,
1010140033.0,3 Times Square,The Reuters Building
1008370036.0,3 W 35th St,
1000240029.0,30 Broad St,The Continental Bank Building
1008620045.0,30 E 33rd St,
